material_id,formula,band_gap,energy_above_hull,is_gap_direct,regime_calc,proba_pv_calibrado
mp-1206059,Rb2NaCrCl6,1.3631,0.0,True,GGA,0.6690347805664146
mp-551816,YBi2IO4,1.3836,0.0,False,HSE06,0.6684971635592551
mp-1113578,Cs2AgAsBr6,1.116099999999999,0.0,False,GGA,0.6664397056489612
mp-1205683,Cs2KCrCl6,1.553499999999999,0.0,True,GGA,0.6634505687215732
mp-1112544,Cs2TlAsI6,1.0046,0.0,True,GGA,0.6606104352305655
mp-1112112,Cs2TlAsBr6,1.2314,0.0,True,GGA,0.6580943686503606
mp-1112940,Cs2AgSbCl6,1.662399999999999,0.0,False,GGA,0.6580014361572706
mp-1110690,Rb2CuBiCl6,1.0756,0.0,False,GGA,0.65450815827735
mp-1110803,Rb2AgSbCl6,1.6275,0.0,False,GGA,0.6489168207461368
mp-628631,GdBi2IO4,1.3080999999999992,0.0,False,GGA,0.6447410450065906
mp-1206266,K2NaCrCl6,1.3875,0.0,True,GGA,0.6433400093921535
mp-1096926,Cs2InAgCl6,1.3421,0.0,True,GGA,0.6385059725406147
mp-1111634,Rb2InAgCl6,1.293,0.0,True,GGA,0.6345385768530768
mp-1111655,Rb2AgAsCl6,1.2354,0.0,False,GGA,0.6297735273339496
mp-1110871,K2CuBiCl6,1.161699999999999,0.0,False,GGA,0.5889525917805548
mp-24227,H8Pt(NCl3)2,1.7803,0.0,True,GGA,0.5843771582799642
mp-1114011,Rb2NaTlBr6,1.0102,0.0,True,GGA,0.5831608042499246
mp-632724,ReH8(NCl3)2,1.0107,0.0,True,GGA,0.5821723870400501
mp-1219602,Rb4InSbCl12,1.033599999999999,0.0,True,GGA,0.5809426199726638
mp-1114071,Rb2InBiCl6,1.691599999999999,0.0,True,GGA,0.5793982039084918
mp-1225983,Cs4InSbCl12,1.0907,0.0,False,GGA,0.5771082673462882
mp-989405,Cs2LiInBr6,1.318,0.0,True,GGA,0.5425422882319029
mp-1212006,InNiAg2F7,1.4768,0.0,False,GGA+U,0.5203513605877432
mp-558050,Rb2NaMnF6,1.678599999999999,0.0,False,GGA+U,0.5197571496450003
mp-1205717,KRb2MnF6,1.704699999999999,0.0,False,GGA+U,0.5173646712197757
mp-1111950,K2AgRhF6,1.4182,0.0,False,GGA,0.5156441079507335
mp-1079339,K2NaMnF6,1.5314,0.0,True,GGA+U,0.5146340804487899
mp-989516,Cs2ICl6F,1.126099999999999,0.0,True,GGA,0.5128561474086345
mp-14037,NaTl2RhF6,1.7848000000000002,0.0,False,GGA,0.5108019947760466
mp-1193745,CeAsO4F,1.495499999999999,0.0,True,GGA,0.5103588672989281
mp-560861,Cs2KMnF6,1.7435,0.0,False,HSE06,0.5079613220024353
mp-1228863,CsMnCrF6,1.595799999999999,0.0,False,GGA+U,0.5069267575035278
mp-1110602,Rb2AgRhF6,1.390499999999999,0.0,False,GGA,0.5057482187165747
mp-1213740,CrNiAg2F7,1.657399999999999,0.0,False,GGA+U,0.5042277412254255
mp-1228982,CsMnFeF6,1.1137,0.0,True,GGA+U,0.5035991186472852
mp-1113707,Rb2LiRhF6,1.7225,0.0,True,GGA,0.5001478588692605
mp-1111665,K2LiRhF6,1.7665000000000002,0.0,True,GGA,0.4970769299255647
mp-1210483,Na2CoNiF7,1.4955,0.0,False,GGA+U,0.4958127418324804
mp-1225874,CsZnCoF6,1.6216,0.0,True,GGA+U,0.4945291382722319
mp-1228915,CsCoNiF6,1.4981,0.0,False,GGA+U,0.49258756521617714
